id,city,lat,long,pop
48,Cruz del Eje,-31.4847366,-64.2108962,1377835
49,Kuala Bintang,4.6077979,97.0202754,1439786
50,Xiping,33.387684,114.021538,831594
51,Susuman,62.7810616,148.1452805,879979
52,Havlíčkův Brod,49.6043364,15.5796552,964603
53,Aguadulce,8.2301756,-80.5549561,974758
54,Tashkent,41.2994958,69.2400734,582173
55,Penedo,-10.2735517,-36.5536172,443923
56,Zhongyuanlu,37.9400581,110.9938854,691371
57,Seleuš,45.1201746,20.8993932,459433
58,Shamanka,52.0715558,103.8262447,540175
59,Vilarinho da Castanheira,41.2044165,-7.2153847,695456
60,Baiyang,23.028301,115.84573,1180607
61,Liutangting,27.36017,111.581975,210019
62,Ar Rawḑah,14.4670027,47.2752844,390429
63,Sambiyan,-6.7273278,111.2695981,489516
64,Tubualá,9.537917,-79.058693,815820
65,Talitsy,56.5288032,42.3295742,244308
66,Hangbu,29.049672,93.953264,1461877
67,Tengqiao,27.9937685,120.6784858,487337
68,Dolní Lhota,49.8445266,18.0838678,978145
69,Sūrīān,30.466667,53.45,860237
70,Sanana,-2.2014533,125.9369952,1290539
71,Zhouzhuang,31.129098,120.839842,573921
72,Bao’an,22.555259,113.884019,782744
73,Milove,49.3756258,40.1418221,190082
74,Ol’ginskaya,57.8196837,28.3236956,332040
75,Tékane,16.6053508,-15.348246,1264411
76,Peuara,-8.241702,123.769227,385841
77,Lazaro Cardenas,17.9567646,-102.1943485,1223191
78,Frutal,-20.019494,-48.9383824,1001906
79,Fale old settlement,-9.38516,-171.24675,1005017
80,Shāhzādpur,24.1933092,89.573856,1222185
81,Kadubamban,-6.3192,105.8994,1424937
82,Milicz,51.5275957,17.2712122,838534
83,Gadang,-2.583333,111.516667,651153
84,Zielona Góra,51.9210929,15.4768834,958452
85,Askersund,58.9116557,14.8053076,1254656
86,Dzerzhinsk,56.1747295,43.5299495,1340139
87,Yonago,37.9694565,138.2471977,876126
88,Seara,41.6929759,-8.2060587,1044488
89,San Felipe,-32.75,-70.7208115,1049237
90,Starychi,49.9742883,23.5488713,735846
91,Despotovac,44.0970463,21.4322091,581164
92,Ad Dilam,23.976619,47.1557087,1250790
93,Salvacion,8.71278,126.20806,620838
94,Irkliyevskaya,45.8585463,39.6551933,1190990
95,Lanpelan,-6.9819,113.5989,1298768
96,Jandir,-6.9561846,113.9883465,744076
97,Novo-Peredelkino,55.6587901,37.3582146,389149
98,Cimanglid,-6.6958883,107.7073688,288592
99,Liliongan,7.363608,124.783718,380322
100,Honghualiangzi,41.21966,118.799497,1124944
101,Cengang,30.07225,122.003581,354138
102,Rancharia,-22.2592565,-50.9706116,670771
103,Dos Quebradas,4.8271607,-75.6499025,1038267
104,Klisura,42.6930655,24.4496426,619139
105,Monte Santo de Minas,-21.2080662,-46.941659,1447980
106,Yang Chum Noi,15.241178,104.4024704,1283141
107,Oyem,1.5991751,11.5759672,1277364
108,Bangassou,4.7378613,22.8165095,775521
109,Yuwang,25.671402,104.260115,1283210
110,Kambing,14.5177485,120.5973573,476777
111,Erátyra,40.3418956,21.5118754,1306815
112,Gubeikou,40.692169,117.163821,1068146
113,Selouane,35.0801925,-2.9475662,585150
114,Janowice,49.911732,20.8725617,1231913
115,München,48.1251024,11.5584376,1072076
116,Nanmen,26.567944,106.714374,492607
117,Santa Ana,13.9778279,-89.5639119,976764
118,Duantan,28.264515,115.9608,166188
119,Candelária,-29.7132471,-52.8312661,1450938
120,Aurora,14.5458392,121.0044883,846316
121,Hargeysa,9.562389,44.0770134,1179743
122,Banjar Bau Kawan,-5.456385,122.612261,1487492
123,Dalmatovo,56.2656262,62.946875,159497
124,Veles,41.7195748,21.7669761,1325182
125,Yangzhuang,22.9550072,113.0126011,745943
126,Bogotá,4.5604389,-74.115187,895106
127,Tsaghkahovit,40.6379848,44.2249621,271101
128,Póvoa,39.60178,-8.968457,1091926
129,Kista,59.4075977,17.9282806,1349512
130,Kiangan,16.7742464,121.0882915,1093885
131,Santo António da Charneca,38.6271104,-9.0346456,1384239
132,Fosca,4.338952,-73.938919,907010
133,Verkhneye Kazanishche,42.73547,47.1378,868580
134,Tarbes,50.4734865,2.9394741,825464
135,Qianfoling,27.33699,112.341117,809035
136,Yushu,32.993106,97.008784,933721
137,Sa‘sa‘,33.2757332,36.0186458,1394350
138,Mori,43.834689,90.286028,1425273
139,Novo-Peredelkino,55.6587901,37.3582146,971554
140,Lubin,52.924544,19.092523,1475918
141,Mahaplag,10.6365464,124.9386692,758819
142,Reshetylivka,49.565935,34.066522,869517
143,Yemva,62.5898079,50.8599404,1436187
144,Yŏnan-ŭp,37.90889,126.16111,1073731
145,Tabu,9.9821841,122.7382909,862388
146,Palauig,15.4004052,119.9303933,241511
147,‘Afrīn,36.5122781,36.8653891,1423915
148,Bošnjaci,45.0432878,18.7972,1054382
149,Kamyzyak,46.1114451,48.0744772,273430
150,Arraga,-37.5407812,-60.7891909,1463207
151,Oinófyta,38.3080648,23.6391172,320031
152,Mulan,45.950582,128.043465,1190433
153,Rennes,48.0976547,-1.7819266,656824
154,Ketapang,-1.5697615,110.5215459,786467
155,Dois Córregos,-22.3734081,-48.3860575,1031861
156,Baoquan,48.170403,126.2118229,871749
157,Liuzhi,26.201227,105.480028,1418017
158,Hartford,41.76,-72.69,1444021
159,Cipanggung,-6.8174513,106.3683065,334276
160,Varėna,54.2125609,24.5743709,1127648
161,Qingyang,35.709077,107.643631,416529
162,Rathdrum,53.2339841,-6.163027,1115999
163,Hammam-Lif,36.7230724,10.3441758,363803
164,David,8.4007278,-82.4427769,1338616
165,Guoyuan,38.822671,115.431228,490023
166,Tulsa,36.1505981,-95.78793,1184167
167,Platičevo,44.8245862,19.771335,492037
168,Ozimek,50.6787,18.2137899,1408643
169,Lins,-21.6733002,-49.7471388,624409
170,Xinzhou,38.416663,112.734174,1270970
171,Měřín,49.3932119,15.8838159,241822
172,Sassandra,4.9512761,-6.0917517,915630
173,Frederiksberg,55.6780762,12.5444055,1092245
174,Sorong,-0.8761629,131.255828,1155274
175,Chicago,41.9403795,-87.6531805,640664
176,Dubá,50.5345697,14.5397223,1391376
177,Zhangjiawo,40.767544,114.886335,1093512
178,Pechenga,69.4269147,30.820151,203097
179,Pukë,42.0469772,19.8960968,831602
180,Kosonsoy Shahri,41.26327,71.54239,1384624
181,Roubaix,50.7022235,3.1685214,1325702
182,Jamshoro,25.4427709,68.3004492,257003
183,Kelin,48.726098,128.939819,1405767
184,Quimperlé,47.859986,-3.6006683,943726
185,Marks,51.7106121,46.7484815,516057
186,Umm as Sāhik,26.6519555,49.9123454,1103817
187,Riofrío,4.15663,-76.287762,797777
188,Ciudad Bolívar,8.0882791,-63.5535552,1385739
189,Sukamantri Satu,-6.167943,106.540052,213236
190,Wuluhan,-8.3654775,113.5371368,795928
191,Vila Nova,41.1741505,-8.6691157,275391
192,Ambohitseheno,-18.7602306,47.5620739,1077055
193,Tala,-34.343056,-55.7648161,1446196
194,Greenhills,53.3122864,-6.336393,578265
195,Sacramento,38.6,-121.45,1261834
196,Tierp,60.663088,17.1532607,516148
197,Xilai,32.116246,120.436781,261792
198,Jindui,31.16899,121.424679,809957
199,Borek Wielkopolski,51.91673,17.2409601,729567
200,Wanling,25.905283,99.222336,677962
201,Sasa,-7.7926564,113.3123627,1447303
202,Tieli,46.986639,128.0324209,938328
203,Tonshayevo,57.73598,47.01265,1272849
204,Toutosa,41.2212595,-8.1439987,268151
205,Fiditi,7.7102381,3.9190062,1427500
206,North Vancouver,49.2826578,-123.118728,851428
207,Cinyumput,-7.311248,106.4786051,226473
208,Strachówka,52.4271002,21.6349927,1071969
209,Moussoro,13.648096,16.493598,1306386
210,Bizhou,31.298974,120.585289,522344
211,Seixo da Beira,40.4579077,-7.845845,1319771
212,Sunampe,-13.4272965,-76.1642459,881832
213,Mauá,-23.668163,-46.4617086,406598
214,Mitrofanovka,52.5264066,85.1824498,590054
215,Ingå,60.1932037,24.9412435,192840
216,Kurashiki,26.3841358,127.804829,593150
217,Groningen,53.2231057,6.5319506,1154297
218,Saint-Denis,-20.9304923,55.5243352,394053
219,Segong,-7.0773806,108.6472527,529982
220,Margasari,-7.0976672,109.0215438,1307525
221,Slavkov u Brna,49.1532539,16.8764982,1405281
222,Temandangjero,-6.864462,111.9390257,616005
223,Hallsberg,59.0475746,15.002836,537495
224,Zbąszynek,52.2467951,15.800102,1440715
225,Hässleholm,56.1629286,13.8037716,1202667
226,Jiujie,39.952319,119.598195,1295860
227,Taraban Timur,-7.2903571,109.0185719,705016
228,Niutian,25.454084,119.007777,597966
229,Gentilly,44.478341,2.845761,1134485
230,Buganda,-2.9679629,29.2088303,1190113
231,Sivers’k,48.873935,38.1047909,284816
232,Lalagsan,9.8245916,122.9082413,980836
233,Lingcheng,37.335794,116.576092,1079756
234,Wakefield,-41.2913531,174.7799667,415867
235,Ryūō,36.7846385,138.4565967,1429448
236,Budapest,47.479469,19.0544773,433016
237,Lubin,52.924544,19.092523,935869
238,Palma Gil,7.0693618,125.6098096,1127908
239,Renhe,26.497765,101.738528,284320
240,Al Mughayyir,32.421701,35.386433,704948
241,Dondar Quşçu,40.9539,45.61942,997468
242,Naran Bulag,43.516667,109.116667,421782
243,Bailiang,31.266878,121.597823,1412172
244,Fulu,52.3716937,4.8925949,576898
245,Mooirivier,-29.2106317,30.0029572,919568
246,Novo Hamburgo,-29.6880479,-51.1333376,476701
247,Bali,5.8874488,10.0191857,488409
248,Kanye,-24.988061,25.3430203,236029
249,Sada,-12.8446575,45.1073445,1442509
250,Jiangdong,29.866818,121.570383,1154885
251,Jagabaya Dua,-5.4008202,105.2677562,239272
252,Punta Cana,18.8539206,-71.3009387,1201424
253,Gyumri,40.7929026,43.8464971,537110
254,Bodĭ,47.918302,106.915572,1298185
255,Wuqiao,37.627661,116.391507,588350
256,Taluncemara,-6.7597964,108.5144791,647438
257,Klimontów,50.2160221,20.3179338,895298
258,Na Kae,16.9818844,104.4490398,572515
259,Dadap,-6.08573,106.7087216,1106690
260,Soledad,8.1707969,-63.5658573,1027572
261,Petauke,-14.2412572,31.3198491,1229735
262,Guicheng,23.03616,113.197169,793339
263,Baozhu,28.445007,102.639837,1337844
264,Baie-D'Urfé,45.416456,-73.9160797,1032340
265,Shuakhevi,41.631471,42.1907465,1002323
266,Suisan,36.7844993,126.4503169,979008
267,Sabbah,36.2175503,37.1341934,690866
268,Pryazha,61.6972353,33.6201069,435157
269,Uva,56.8802017,52.2966875,1083531
270,Landskrona,55.8893778,12.8237518,1230130
271,Macau,-5.1942574,-36.4797126,1112171
272,Tawen Aobao,39.084828,117.185967,589825
273,Chon Daen,16.1160065,100.8451467,1181569
274,Cañas,10.4309602,-85.0966591,1013657
275,Persen,-7.0416627,110.3998007,1150268
276,Xiawa,42.7415586,-84.5050878,651626
277,Maardu,59.4687696,24.9801867,193699
278,Rancabelut,-6.8686728,107.516493,1130716
279,Cruzeiro,41.6270289,-8.4553604,1120300
280,Boulaouane,32.8616618,-8.0547019,868374
281,Chizhou,30.656037,117.489156,1337657
282,Rennes,48.1752793,-1.7274799,1138680
283,Xijiao,39.9947462,116.3397725,259847
284,Patzicía,14.6329018,-90.9259787,858260
285,Potrerillos,15.2307976,-87.9653335,791241
286,Chadiza,-14.06355,32.4382307,1161546
287,Antsohimbondrona,-21.266667,46.983333,996941
288,Jāwā,31.8577642,35.936274,1237817
289,Pontal,-20.9827531,-48.0563942,1354099
290,Pulupandan,10.527138,122.813931,367307
291,Fiais da Beira,40.4222721,-7.921883,589066
292,Magdug,6.5400402,126.084947,1142363
293,Manga,14.5653343,121.0527067,542574
294,Banag,14.6875764,120.9777157,554316
295,Wangchuanchang,39.159945,117.229277,1164555
296,Sundsvall,62.3838715,17.2770463,545436
297,Sumberngerjat,-7.0888,113.5901,1058553
298,Qi’an,34.341574,108.93977,1267167
299,Sioux City,42.5069391,-96.3598367,179526
300,Vulcan,50.40008,-113.25189,680173
301,Coruripe,-10.0519585,-36.2196853,909362
302,Poponcol,-6.336862,107.377277,1062913
303,Tasböget,44.7735327,65.5544515,1119996
304,Remedios,22.4963477,-79.5462943,1197267
305,Gujba,11.4998068,11.9336539,1069138
306,Mombaça,-5.8002425,-39.734338,541326
307,Nangka,14.6701,121.108226,419384
308,Cantoria,16.842826,120.402603,745497
309,Pavlovskiy Posad,55.7562751,38.6792665,1344362
310,Sanlifan,30.833079,115.274798,1355312
311,Goundi,9.3572656,17.3671431,1301486
312,Shums’k,50.122577,26.1149716,246569
313,Panacan,9.2559967,118.4057103,336175
314,Puerto Madryn,-42.7700601,-65.0306302,776709
315,Kozmice,49.9164727,18.1627822,1275724
316,Czerwin,52.958936,21.8130562,849592
317,Susaki,38.6002411,141.2405508,1100783
318,Kuršėnai,55.985,22.91889,963041
319,Dingjiaqiao,30.641073,118.315476,997215
320,Bến Tre,10.1081553,106.4405872,1004600
321,Kangin,-8.6470988,115.2229232,1302885
322,San Carlos,8.797145,-75.698571,573552
323,Krajan Alastengah,-7.7218793,113.4785837,1133616
324,Sala,59.8292954,16.5457017,544531
325,Gayam,-5.7577862,105.6984455,493495
326,Shangpai,31.2303904,121.4737021,548358
327,Ribnica na Pohorju,46.5356403,15.2675136,511747
328,Chita,6.0102236,-72.4494848,261708
329,Rolante,-29.6216078,-50.534262,1153501
330,Corralito,-33.0061376,-60.6722815,1041715
331,Aygavan,39.8752693,44.6683679,1387483
332,Merdeka,-6.9136675,107.6200524,366172
333,Granville,48.8331738,-1.6029573,835949
334,Tarbes,50.4734865,2.9394741,1287461
335,كاف الجاع,35.0876436,36.216972,453602
336,Santa Rosa,-31.3950849,-64.2390612,966028
337,Bålsta,59.5782797,17.4879349,666544
338,Phimai,15.226768,102.496025,595748
339,Budapest,47.440449,19.1700809,289683
340,Pankrushikha,53.8217803,80.3474566,600902
341,Carvalhal da Aroeira,39.5160073,-8.5405003,1491631
342,Tuapukan,-10.1082359,123.7727229,677820
343,Eskilstuna,59.3703069,16.5529968,1278716
344,Mtwara,-10.3112236,40.1759806,191383
345,Jiulong,29.000347,101.507294,850037
346,Kasongo,-4.4238447,26.6700737,438824
347,Arranhó,38.9550335,-9.1331143,1241169
348,Tekik Wetan,-7.25717,112.67026,936380
349,Orsha,54.5071478,30.4119546,1219357
350,San Jose,25.8007724,-100.4277766,1383434
351,Açucena,-19.0764128,-42.5478901,1055457
352,Sanjiazi,37.1893492,119.9569362,316258
353,Laingsburg,-33.2307354,20.5826261,615248
354,Raoyang,38.235892,115.725833,1107530
355,Paraíso,41.0121335,-8.304667,1364882
356,Wolongquan,28.074649,119.141473,1158001
357,Were Īlu,10.5914216,39.4372601,376150
358,San Juan del Surutú,-17.48333,-63.7,179113
359,Dadamtu,43.977331,81.318189,989888
360,Alto Barinas,8.59207,-70.225082,486016
361,Köln,50.9173381,7.0902515,1249340
362,Shuangshi,31.50199,115.75596,273715
363,Podivín,48.8255395,16.8482236,1444573
364,Ensanche Luperón,18.4176704,-70.0957159,381408
365,San Antonio,19.4805668,-99.2058279,929377
366,Pulau Pinang,5.3523231,100.3573891,1372765
367,Luyang,31.878735,117.26467,754885
368,Almargem do Bispo,38.8491962,-9.2710509,1152381
369,Danzao,24.737065,118.630289,830034
370,Oss,51.7610501,5.5510411,843567
371,Claremont,-33.9842244,18.4740875,369328
372,Lajarik,-9.9755,120.4083,609959
373,Dutsin Ma,12.4544798,7.4976536,1264650
374,Cherepovets,59.1201253,37.9014795,318490
375,Ōta,36.2569423,139.381182,427399
376,Krông Kmar,12.5075773,108.3356312,185077
377,Liulin,37.429832,110.88907,1307846
378,Guaraciaba do Norte,-4.1615016,-40.7511885,957449
379,Meneou,34.8582652,33.6007892,607643
380,Lyon,43.0429124,1.9038837,360220
381,Dieppe,46.0952765,-64.7486638,1275426
382,Široki Brijeg,43.3831419,17.592739,314527
383,Aku,6.7001345,7.3246534,953034
384,Tanggulangin,-7.5145399,112.7330892,1252064
385,Akankpa,5.1079431,8.1789301,652737
386,Itororó,-15.118465,-40.0660682,1411383
387,Luoluopu,41.554479,121.725015,271688
388,Hamburg,53.5754959,10.0807485,1260885
389,Otterburn Park,45.53338,-73.21585,853069
390,Bŭka,40.8106238,69.2341133,1339983
391,Candi Prambanan,-7.7520206,110.4914674,346315
392,Barão de Cocais,-19.9454604,-43.4876311,315519
393,Thāru Shāh,26.9215438,68.1195259,535194
394,Hrvatini,45.5746977,13.7677916,1347831
395,Espumoso,-28.7245183,-52.8444231,1014078
396,Ifakara,-8.139894,36.681728,318936
397,Salas,-6.2746751,-79.6080967,1250120
398,Trzebiatów,52.4368772,16.826031,375311
399,Huangchuan,32.131522,115.051908,1028953
400,Al Ghandūrah,36.67006,37.73278,962795
401,Şabāḩ as Sālim,29.2565637,48.062605,1489520
402,Pakxong,15.1766973,106.2345633,1389361
403,General La Madrid,-26.8327412,-65.2299908,1405526
404,Avellaneda,-37.9973752,-57.5825246,554814
405,Uromi,6.7139748,6.3279244,289767
406,Jammāl,35.62231,10.75696,468233
407,Tempel,-7.6646951,110.3189662,1091778
408,Bagé,-31.3317595,-54.1038619,1264323
409,Qiaodong,40.788434,114.894189,1359851
410,Marília,-22.2169379,-49.9456615,1003844
411,La Sabana,15.3680416,-87.9383822,973263
412,Nový Knín,49.7880079,14.293561,743711
413,Kyaukse,21.6098301,96.1341431,450934
414,La Mesa,8.1524286,-81.1802619,255945
415,Sakurai,33.3457623,130.785523,1170891
416,Esmeraldas,0.9681789,-79.6517202,1024983
417,Lewopao,-8.3782936,123.2658133,315360
418,Ḩukūmat-e Shīnkaī,31.98303,67.33558,504409
419,Arevik,40.7388893,43.9061272,1381462
420,Miasskoye,55.2763668,61.9012109,916734
421,Jagdaqi,50.425413,124.118816,472368
422,Maisons-Alfort,48.8039832,2.4347009,855054
423,Stockholm,59.3362401,18.0232365,229339
424,Hainan,19.5663947,109.949686,213097
425,Jiangyou,31.778022,104.745823,318000
426,Pueblo,38.2743989,-104.6086995,1224906
427,Lumbayan,12.8644915,121.4804504,490351
428,Bershet’,57.7297471,56.3724781,1134273
429,Luzhai,24.487326,109.733126,1280068
430,Bang Ban,14.4050979,100.464947,659288
431,Jingzhou,30.335237,112.239631,941859
432,Baraçais,39.2923338,-9.1684401,303457
433,Përmet,40.2361837,20.3517334,1492274
434,Laugar,65.723731,-17.354349,1017488
435,Chame,8.5860654,-79.8464804,985681
436,Néa Ankhíalos,39.2759274,22.818555,1102316
437,Dalai,48.9809916,117.3883737,657062
438,Baculongan,16.8,120.8333,213903
439,Budapest,47.545979,19.0375319,265608
440,Casa Branca,-21.7712926,-47.0856897,467279
441,Nofoali‘i,-13.8223647,-171.9596279,274377
442,Ivry-sur-Seine,48.819324,2.394771,881395
443,Futuroscope,46.6698573,0.3697581,784339
444,Rio Meão,40.9557367,-8.5885858,711157
445,Rubio,7.6988579,-72.3607108,1350357
446,Purwokerto,-7.4242782,109.2396366,305997
447,Am Djarass,16.06589,22.84308,1444253
448,Anhua,28.374107,111.212846,394924
449,San Antonio de los Baños,22.8929945,-82.5050529,813365
450,Ryazanskaya,44.956561,39.5853276,1275834
451,Ciracap,-7.3236038,106.4641459,1453812
452,Dalongzhan,29.201587,111.755127,152582
453,La Coipa,-5.2755737,-79.1048501,166977
454,Caotang,23.2997268,113.323144,486014
455,Ibarra,0.3391763,-78.1222336,234824
456,Cẩm Phả Mines,21.0453008,107.2776992,1450545
457,Dřevohostice,49.4259425,17.5920528,355411
458,Tushi,25.521039,112.309325,510106
459,San Isidro,9.939624,126.065213,1198499
460,Nevesinje,43.2574658,18.1123652,359694
461,Bandundu,-4.163679,18.8076195,545391
462,Manolás,36.4343708,25.3447274,527576
463,Weekaka,-9.5666396,119.2206059,850999
464,Nariño,4.398278,-74.828718,575649
465,Diancun,26.520511,103.653382,499760
466,Pingshui,31.017497,121.309354,715342
467,Nakhon Phanom,17.3798237,104.6821048,820977
468,Lom Sak,16.7733926,101.2451095,1222627
469,Międzyzdroje,53.9283144,14.4504845,229607
470,Kuala Lumpur,3.1409415,101.700398,1393719
471,Nariño,4.398278,-74.828718,551182
472,Itauguá,-25.4106487,-57.3609511,1359040
473,Fangshan,39.749144,116.143267,1339989
474,Odiong,11.536819,122.489398,1358862
475,Červené Pečky,49.9792606,15.2092621,1221898
476,Parapat,2.6644279,98.9397139,214385
477,Kīsh,26.5324775,53.9867949,993998
478,Cipari,-7.4066528,108.7719766,237291
479,Tarumizu,32.8924632,130.6828947,562211
480,Wakimachi,34.0693432,134.1459167,934666
481,Melipilla,-33.6861588,-71.2166838,322859
482,Medvedok,57.3960898,50.0164274,230023
483,Duncans,18.4691383,-77.5404459,1273551
484,Kariaí,40.233333,22.3,898791
485,Chinchero,-13.3964033,-72.0514291,1200707
486,Nizhnyaya Tura,58.6247472,59.8241142,1384577
487,Abbeville,49.9772098,1.6928443,1071484
488,Luknovo,55.7422912,37.5051617,1273223
489,San José de Cusmapa,13.2892111,-86.6548114,610744
490,Vila Boa do Bispo,41.1298235,-8.2201345,870170
491,Cruces de Anorí,7.18334,-75.06668,371257
492,Fradelos,41.5047902,-8.4776032,1359752
493,Porta,41.9502131,-8.5304169,1081946
494,Boavista,41.1667893,-8.6815733,1228559
495,Costeira do Pirajubae,-27.6349915,-48.5219457,242432
496,Elat,-5.657692,132.991547,311916
497,Osek nad Bečvou,49.5111458,17.5282441,485578
498,Cabucgayan,11.4739808,124.569794,551539
499,Brumadinho,-20.1514708,-44.2010909,1212348
500,Mokil,6.6650328,159.7540106,1017020
501,Rocky Mountain House,52.3793432,-114.9182883,274673
502,Baturinggit Kaja,-8.2464,115.5631,567899
503,Brzeg Dolny,51.2701042,16.7076821,1493330
504,Araguari,-18.6517964,-48.1904503,1049161
505,Priboj,43.5827565,19.5266606,324656
506,Nilópolis,-22.8590499,-43.4056016,1446591
507,Heung-hai,36.1125,129.35222,1113905
508,Kashima-shi,35.9924294,140.6177909,325226
509,Bressuire,46.8118134,-0.5451553,252495
510,Salcedo,14.5560877,121.0155081,723667
511,Lobamba,-26.400429,31.1824925,1025424
512,Shipaidong,21.850061,111.197459,167477
513,Joliette,46.0285851,-73.4499872,1055943
514,Végueta,-11.0216067,-77.6407258,1155565
515,Napu,-9.3588996,119.9162276,1237442
516,Maceió,-9.6498487,-35.7089492,1057559
517,Wuma,28.01082,120.663064,1201400
518,Maiwal,-6.28433,107.130861,168736
519,Vostryakovo,55.6613674,37.4429397,1293944
520,Sembungan Kidul,-7.0054807,112.5118443,962587
521,Famatina,-34.6473284,-58.4184031,1032907
522,Velingrad,42.0275439,23.9915523,1073059
523,Oslo,59.9451756,10.6392492,475640
524,Cauday,-7.5739492,-78.0699576,371297
525,Krajandadapmulyo,-7.5511508,111.6547689,1055726
526,Cabouco,37.7621762,-25.5651478,637526
527,Piraí do Sul,-24.4748345,-49.8956943,197198
528,Pangkalan,-2.688962,111.622398,637172
529,El Arenal,20.775698,-103.6951543,600141
530,Tiko,4.0786306,9.358984,711491
531,Dandian,30.762716,115.190725,446948
532,La Tebaida,4.4339677,-75.8185314,1488774
533,Novyye Kuz’minki,55.7,37.75,1219539
534,Santa Maria do Souto,41.5146956,-8.2971003,301032
535,Mora,61.0180334,14.6053692,1046267
536,Caicó,-6.4696439,-37.0829593,763181
537,Fenghuo,34.554624,108.631718,1010651
538,Wādī as Sīr,31.9566347,35.8472427,874613
539,Jabinyānah,35.035,10.90809,905441
540,Pimbalayan,6.7987866,124.6192703,588477
541,Sedatigede,-7.3756404,112.758414,1073739
542,Ejidal,20.6323938,-87.0911879,594938
543,Somba,-9.6993439,119.9740534,488015
544,Obonoma,4.6845489,6.7815237,551426
545,Alurbulu,-7.5202294,108.8432655,609418
546,Johor Bahru,1.5604242,103.6384827,1367151
547,Barcelona,14.4958564,121.0188552,743514
548,Gongli,31.118803,121.438903,490318
549,Macaíba,-5.8949347,-35.4343604,879153
550,Caotang,23.2997268,113.323144,423101
551,Ad Dilam,23.976619,47.1557087,239530
552,Zborovice,49.2549921,17.2899103,327784
553,Jahāniān Shāh,24.9104797,69.3504869,499257
554,Yushugou,43.897258,89.939332,418394
555,Oslo,59.9050895,10.7673005,560232
556,Messejana,37.832557,-8.2423289,675815
557,La Talaudière,45.4556955,4.4135431,1257191
558,Puerto Asís,0.5471811,-76.1319953,1248857
559,Santa Rita do Sapucaí,-22.2528986,-45.7049987,548566
560,Ciemas,-7.196982,106.5112712,246396
561,Sztum,53.9208518,19.0295929,1423881
562,Shizukuishi,39.7007906,140.9596925,1225069
563,Itabaiana,-10.6872332,-37.4329352,1235860
564,Zaysan,47.4701444,84.8752996,917318
565,Vera Cruz,-22.2220229,-49.8197149,180059
566,Ajasse Ipo,8.2458715,4.8118909,970536
567,Vologda,59.1983958,39.8321001,627478
568,Bergem,49.5206119,6.0453754,749336
569,Sutton,53.3895926,-6.1097188,1035637
570,Triteh,-6.2461822,106.8323419,362075
571,Sinhyeon,35.474465,128.2579205,1142187
572,Mercaderes,1.795801,-77.163397,198917
573,Ylitornio,66.322631,23.67353,566694
574,Paderne,37.1764814,-8.201073,1407585
575,Bueng Sam Phan,15.767975,101.010223,773671
576,Isla Verde,-31.4787554,-64.2316792,297974
577,Daejeon,36.3504119,127.3845475,343356
578,Pilpichaca,-13.3261109,-74.9975,910554
579,Iroquois Falls,48.76688,-80.68307,957738
580,Trá Mhór,53.2736466,-9.0197835,657952
581,Oebai,-9.9831,124.1849,825120
582,Fershampenuaz,53.5199891,59.8158991,1069031
583,Xiema,24.479833,118.089425,1027897
