id,city,country,lat,long,income
65,Wongaya Kaja,ID,-8.6490171,115.2135681,38422.55
66,Nggambel,ID,-6.4871369,106.8007712,70346.49
67,Klimontów,PL,50.2160221,20.3179338,31147.59
68,Monte de Fralães,PT,41.4575762,-8.5717827,35016.17
69,Madalena do Mar,PT,32.7010866,-17.1340519,81798.93
70,Al Ḩawātah,SD,13.415029,34.6248039,86418.73
71,Diaoluoshan,CN,18.792633,109.878143,47540.23
72,Hubynykha,UA,48.809598,35.2590854,66978.56
73,Korisós,GR,40.5040992,21.376499,93084.11
74,Baitao,CN,25.66788,110.547966,36008.27
75,Tamra,IL,32.852247,35.201315,88344.30
76,Wangjing,CN,39.993178,116.468427,73962.10
77,Dueñas,PH,14.5008343,121.0485932,91374.25
78,Murfreesboro,US,35.8559647,-86.3944828,64013.53
79,Kelodan,ID,-8.6283422,115.2580854,99465.41
80,Eucaliptus,BO,-17.5982518,-67.5082709,58786.12
81,Kadugedong,ID,-6.3623241,106.0991261,49282.30
82,Kongsvinger,NO,60.1862,12.0056,93552.17
83,Fantan,AM,40.3942118,44.6854034,43458.93
84,Yahe,CN,27.6616992,120.5610519,73913.28
85,Quxia,CN,32.096344,118.909159,25895.01
86,Da Nang,VN,16.0544068,108.2021667,73488.94
87,Iiyama,JP,36.8517527,138.3628039,66293.94
88,Dingqiao,CN,30.350192,120.222909,52708.13
89,Mar’’ina Horka,BY,53.506761,28.1527803,40153.01
90,Krasnogorskoye,RU,57.7046513,52.4917523,23248.38
91,Sanjiao,CN,22.676245,113.418215,33818.67
92,Chinchiná,CO,4.9764526,-75.6695834,57191.11
93,Dolno Palčište,MK,41.9690977,20.9265111,98483.98
94,Dubno,UA,50.4009139,25.7590674,94184.85
95,Al Azraq ash Shamālī,JO,31.8808504,36.8308031,81479.80
96,Säffle,SE,59.132661,12.930107,65234.20
97,Paris 02,FR,43.4945737,5.8978018,30916.75
98,Tobelo,ID,1.7145909,127.9678652,53636.59
99,Girón,CO,7.0739678,-73.1692652,22794.94
100,Jackson,US,32.2821952,-90.2291565,58086.11
101,Whitwell,GB,54.3886617,-1.555363,62215.47
102,Azul,AR,-34.7796334,-58.6040349,79752.47
103,Santo António das Areias,PT,39.4110563,-7.349941,64559.50
104,Umeå,SE,63.8191979,20.2821264,51101.61
105,Nangka,PH,14.6701,121.108226,51620.74
106,Dhahi,YE,15.2170207,43.0704759,35652.39
107,Hong Kong,HK,22.396428,114.109497,66559.97
108,Sadovo,BG,42.1309737,24.9390156,25833.64
109,Rondonópolis,BR,-16.4622905,-54.6210664,42606.35
110,Poconé,BR,-16.2664706,-56.6265989,81727.33
111,Wangdun,CN,36.409259,99.679959,59515.66
112,Ash Shuqayrah,YE,13.13452,43.78636,96518.70
113,Dhalie,YE,13.7032564,44.7334536,59764.72
114,Kelapa,ID,-1.880763,105.668503,27889.94
115,Tiznit,MA,29.693392,-9.732157,34604.17
116,Hà Đông,VN,20.955835,105.7563658,52676.29
117,Ostrov,RU,57.3397034,28.3570946,21155.02
118,Karengan,ID,0.556948,109.374802,48983.75
119,Allen,PH,12.50337,124.286825,80009.36
120,Guararapes,BR,-21.2581695,-50.6378257,24605.65
121,Fundación,CO,10.5289556,-73.7242486,97788.53
122,Ash Shawātī,YE,16.78314,43.81265,65968.34
123,Dimbokro,CI,6.6574752,-4.7122337,74925.61
124,Pingdi,CN,26.1050311,104.5991578,86229.50
125,Barapas,ID,-6.1965654,106.8226808,37369.27
126,Qiaozhuang,CN,33.259035,117.15878,97380.10
127,San Cristobal,MX,20.6597358,-101.4750896,25510.93
128,Aleysk,RU,52.4934588,82.7806142,86221.34
129,Jiaoshanhe,CN,30.830898,120.92585,39042.54
130,Hexi,CN,39.109563,117.223371,42346.56
131,Campechuela,CU,20.2281486,-77.2807423,41763.56
132,‘Aqrah,IQ,36.7411205,43.8808488,89851.33
133,Baun,ID,-10.3023,123.710098,74983.94
134,Taoyuan,CN,24.9936281,121.3009798,82614.22
135,La Gloria,MX,19.3957419,-97.2826539,83503.00
136,Shiqiao,CN,22.948016,113.366904,54814.46
137,Landskrona,SE,55.8569131,12.9108819,46682.91
138,Isangel,VU,-19.54172,169.2803499,84646.18
139,El Paraíso,HN,14.0736932,-86.4187308,98594.27
140,Konotop,UA,51.2409432,33.2050521,64694.22
141,Primero de Mayo,MX,19.1753648,-96.1427574,65694.70
142,Banjar Danginsema,ID,-8.4513,115.6162,98639.47
143,Bebedouro,BR,-20.9400441,-48.4812248,93510.85
144,Yokotemachi,JP,32.5171226,130.6026459,65220.52
145,Conselheiro Lafaiete,BR,-20.6639305,-43.7850227,77827.99
146,Ulaanbaatar,MN,47.8863988,106.9057439,49406.69
147,Keumala,ID,5.2306075,95.8670405,71311.85
148,Bayt ‘Awwā,PS,31.50911,34.94938,54428.56
149,Heydərabad,AZ,39.7231403,44.8476661,65266.02
150,Paris La Défense,FR,48.891587,2.2408938,44629.98
151,Nakatsu,JP,33.4596808,132.7393724,56099.86
152,Potęgowo,PL,54.4823669,17.486283,46582.65
153,Owen Sound,CA,44.57629,-80.9206653,79196.28
154,Burtunay,RU,42.99082,46.632565,76368.17
155,Saltsjöbaden,SE,59.2803437,18.2849323,87700.83
156,Hyrynsalmi,FI,64.3196092,29.0932259,80606.29
157,Salvador,PT,40.0896078,-7.0929707,32095.44
158,Yasothon,TH,15.8515169,104.1698463,78979.62
159,Guzhuyingzi,CN,40.93945,120.271595,22941.82
160,Illela,NG,13.717481,5.3520876,74734.83
161,As Sayyānī,YE,13.8138823,44.161347,68114.66
162,Juazeiro do Norte,BR,-7.2284727,-39.3121233,99620.17
163,Pechenizhyn,UA,48.5184268,24.8858948,59523.92
164,Ketapang,ID,-1.5697615,110.5215459,42701.92
165,Dongtian,CN,27.457067,120.642047,99476.22
166,Yanjiao,CN,39.944315,116.809657,47771.38
167,La Soledad,MX,17.0635121,-96.7300158,83755.91
168,Clermont-Ferrand,FR,45.783131,3.0742866,64886.70
169,Ngaruawahia,NZ,-37.7068442,175.1468145,78786.97
170,Nyíregyháza,HU,47.9527415,21.6927245,83771.58
171,Fatumnasi,ID,-9.594324,124.1754442,85550.25
172,Berlin,DE,52.416925,13.6492904,73911.53
173,Changling,CN,44.275895,123.9674831,56437.24
174,Banjar Pande,ID,-8.5894351,115.1417784,67452.98
175,Hinapalanan,PH,8.679187,124.972309,46969.83
176,Banjar Banyualit,ID,-8.152161,115.036705,77898.74
177,Donghui,CN,27.719827,106.929757,87136.71
178,Heping,CN,24.44218,114.938684,45109.97
179,Guanli,CN,37.186035,120.701061,64810.60
180,Bełżec,PL,50.384945,23.438111,63184.08
181,Lumsden,CA,50.65009,-104.86783,47943.50
182,Sena,TH,14.3144265,100.3722477,53722.43
183,Asahi,JP,38.1162631,140.8585745,58988.44
184,Rochester,US,43.1625916,-77.6079126,92629.05
185,Phù Mỹ,VN,14.2157645,109.1166566,31050.07
186,Jiayuguan,CN,39.772554,98.289419,90381.83
187,Zhenxi,CN,30.356669,117.47637,32790.63
188,Pakalongan,ID,-6.8898362,109.6745916,70804.00
189,Pecatu,ID,-8.8315362,115.1264522,62933.58
190,Hamburg Sankt Pauli,DE,53.5472987,9.9778279,36773.56
191,Salaya,TH,13.794468,100.327706,87598.52
192,Šventoji,LT,55.2474741,24.7743055,54827.26
193,Saaban,PH,13.2648001,123.4665442,41930.83
194,Tallaght,IE,53.2874153,-6.3660863,78921.52
195,Ballisodare,IE,54.2109904,-8.5070436,58246.81
196,Garawati,ID,-6.1856385,106.8430596,93400.11
197,Jawornik,PL,49.8501369,21.894173,28078.08
198,Sacramento,US,38.6024828,-121.4470463,65382.84
199,Banovo Polje,RS,44.9153318,19.4516353,31635.87
200,Baranovichi,BY,53.1255737,26.0091684,97415.97
201,Novaya Mayna,RU,54.1458603,49.7613122,71095.93
202,Teresita,PH,14.3082674,120.9138589,90342.95
203,Garnich,LU,49.6154055,5.9480686,33102.87
204,Ngerengere,TZ,-6.7575785,38.131876,56072.58
205,Sipoholon,ID,2.0610237,98.9024603,79244.45
206,Karlstad,SE,59.3800269,13.499827,38544.68
207,Tanabi,BR,-20.6286479,-49.6546435,69920.14
208,Ciparay,ID,-7.0401751,107.7132895,50058.75
209,Invermere,CA,50.51666,-116.03538,90885.78
210,Flórina,GR,40.7845262,21.4131222,94125.05
211,Kayukembang,ID,-6.9338,113.9812,82886.49
212,Santaluz,BR,-11.2049412,-39.4035876,50044.33
213,Bettendorf,LU,49.8788895,6.1878416,65591.87
214,Ordynskoye,RU,54.3777115,81.9305699,87504.42
215,Dapdap,PH,14.5014709,121.0421391,29541.06
216,Tournai,BE,50.585206,3.3300918,53774.33
217,Baghlān,AF,35.8042947,69.2877535,91792.01
218,Saboyá,CO,5.6763925,-73.8066163,40588.83
219,Chon Buri,TH,13.3600554,100.9849333,66553.19
220,Wilanagara,ID,-7.0397296,108.6264694,93242.66
221,Narbonne,FR,43.1905743,3.0057099,46169.31
222,Tchoban Bey,SY,36.61667,37.45,97732.77
223,Jingtou,CN,33.120053,117.939854,87086.50
224,Velká Bíteš,CZ,49.290817,16.2263509,73012.80
225,Herrljunga,SE,58.0780287,13.0188387,37150.57
226,Zamarski,PL,49.7873125,18.6675302,55907.13
227,Krapivna,RU,53.94204,37.1563793,73169.10
228,Xucheng,CN,34.035771,113.852454,20121.71
229,Bako,ET,9.1248242,37.0588169,20963.58
230,Mezhdurechensk,RU,53.6836301,88.0813924,72114.81
231,Campos Novos,BR,-27.4369394,-51.2213044,24122.65
232,Irasan,PH,14.4967483,120.991762,53878.51
233,Yongyang,CN,23.326616,110.034076,96449.53
234,Slatyne,UA,50.2124156,36.1590565,75046.93
235,Hengtang,CN,26.893368,112.572018,28708.01
236,Emnambithi-Ladysmith,ZA,-28.5600363,29.7779991,48324.21
237,Almaguer,CO,1.8739231,-76.8201976,24499.80
238,Chating,CN,32.0359229,118.7436309,39415.63
239,Shyroke,UA,47.6938287,33.3173912,73470.33
240,Karolinka,CZ,49.3420066,18.2596537,37665.85
241,Qushi’an,CN,29.603667,119.048169,24826.74
242,Louriceira,PT,39.4723517,-8.7426101,81923.74
243,Gazanjyk,TM,39.2470722,55.5191857,57314.43
244,Stenungsund,SE,58.0767446,11.8416522,59071.31
245,Karolinka,CZ,49.3420066,18.2596537,92142.32
246,Itapecuru Mirim,BR,-3.3937106,-44.3606211,95407.54
247,São Roque,BR,-23.5257248,-47.1322342,34627.62
248,Xiabao,CN,37.452432,117.523761,80393.99
249,Lianzhou,CN,24.780966,112.377361,55430.86
250,Jianxin,CN,39.761892,116.420331,36353.50
251,Shisui,JP,35.7297805,140.2669505,30565.61
252,Longjing,CN,42.76631,129.427066,92659.01
253,Rinbung,CN,29.230933,89.841983,39409.05
254,Dziemiany,PL,54.0058465,17.7763729,60256.67
255,Kaminoyama,JP,38.7333101,141.5437532,75385.75
256,Mombaça,BR,-5.8002425,-39.734338,48445.62
257,Vermelha,PT,39.2699174,-9.1052924,90604.84
258,Xunjian,CN,42.5246357,87.5395855,25517.38
259,Al Maḩfid,YE,14.061619,46.914966,58169.14
260,Brits,ZA,-25.1598678,27.6889503,50527.38
261,Al Qarārah,PS,31.37389,34.34085,70886.83
262,Tongliao,CN,43.65289,122.243444,22924.67
263,Menongue,AO,-14.6594083,17.6984879,20601.74
264,Huayang,CN,23.614734,115.49047,36096.08
265,Bourges,FR,47.6632745,1.206057,79400.03
266,Puncakwangi,ID,-7.2953035,107.0716609,40068.28
267,Duozhu,CN,23.027797,114.950182,92427.78
268,Jargalant,MN,48.7277622,100.7724281,48445.93
269,Jishu,CN,24.601408,103.84998,72728.11
270,Ciénaga,CO,10.8698035,-73.9830029,99381.39
271,Houston,US,29.6464527,-95.4935119,96303.89
272,Paris 17,FR,43.4945737,5.8978018,97003.36
273,‘Ajlūn,JO,32.3325599,35.751742,21830.93
274,Efeng,CN,28.108088,114.457886,50021.99
275,Wenping,CN,22.279062,114.174463,61342.49
276,Jiahe,CN,25.587519,112.36902,35007.20
277,Mingshui,CN,47.173426,125.9063009,54752.62
278,Fenghuang,CN,27.948308,109.599191,73396.20
279,Charxin,UZ,39.6725789,66.7724653,51172.27
280,Kabanga,TZ,-2.6382189,30.4674459,65092.49
281,Ciechanów,PL,52.8807868,20.6745586,66996.23
282,Jibu Hulangtu,CN,48.968713,117.773198,65537.45
283,San José de Bocay,NI,13.5438483,-85.5399774,45794.98
284,Motala,SE,58.4542358,15.1073919,23919.71
285,Halmstad,SE,56.6607917,12.9004521,45376.46
286,Lisiy Nos,RU,60.0128251,30.0046156,24417.06
287,Yabuli,CN,44.780865,128.447649,64148.89
288,Reforma,MX,17.8579334,-93.1548091,26815.61
289,Świebodzice,PL,50.8822214,16.3195565,80769.30
290,Zabukovica,SI,46.2144039,15.1585599,28946.85
291,North Saanich,CA,48.6197483,-123.4169098,47853.68
292,Aga,PH,13.8266134,122.9580541,33423.92
293,Višnjićevo,RS,44.9856696,19.2988999,44134.12
294,Gedongmulyo,ID,-6.6845518,111.4365318,51858.60
295,Sanlanbahai,CN,35.85544,102.43323,83263.77
296,Hongyanxi,CN,28.71321,109.496611,30952.50
297,Veliko Tŭrnovo,BG,43.0892761,25.5163421,46298.33
298,Dananyu,CN,39.8067,116.030192,82278.40
299,Lengkongbarang,ID,-7.5888579,108.2674092,58558.83
300,Tongli,CN,31.148896,120.722695,48601.10
301,Cibitungmasjid,ID,-6.2829488,107.0833701,93213.57
302,Cieplice Śląskie Zdrój,PL,50.3467983,16.8896987,85854.74
303,Kisangani,CD,0.5185303,25.2007728,79678.32
304,Tallbīsah,SY,34.8422936,36.7307641,55789.34
305,Horní Lideč,CZ,49.181214,18.0610035,73042.66
306,Ambat,ID,-7.2132018,113.4210537,36999.94
307,Al Maţarīyah,EG,30.1253988,31.3181252,66852.97
308,Algeciras,CO,2.523477,-75.3156939,36758.62
309,Urho,CN,46.089148,85.693742,57647.33
310,Nanhe,CN,37.005017,114.683863,46058.19
311,Vishow,BY,53.905048,27.5393261,82311.47
312,Long Layu,ID,3.61023,115.69993,51236.78
313,Zhyrovichy,BY,53.0131368,25.3425332,26148.33
314,Salt Lake City,US,40.7,-111.94,56864.12
315,Palanit,PH,14.5598603,121.0335354,96175.85
316,Dourbali,TD,11.8042973,15.8613233,68561.53
317,Rancho Nuevo,MX,22.2222241,-100.9256085,50027.14
318,Nangaroro,ID,-8.7698185,121.3312882,90775.66
319,Pandanwangi,ID,-7.9522887,112.6586009,70766.19
320,Villamaría,CO,5.042569,-75.514771,69692.74
321,Frisange,LU,49.5178845,6.190803,46669.54
322,Guadalupe Victoria,MX,24.4432479,-104.1175578,85188.50
323,Maca,PE,-15.6418418,-71.7674379,92536.52
324,Odiong,PH,11.536819,122.489398,40389.28
325,Nangtang,ID,-7.3440911,107.9917034,91517.96
326,Stockholm,SE,47.0170479,-68.1430238,65190.09
327,Kuching,MY,1.5589383,110.346648,89128.10
328,Lysice,CZ,49.4515969,16.5371625,96636.58
329,Valle San Francisco,NI,12.5258542,-86.2907568,77626.50
330,Jacarezinho,BR,-23.1734868,-49.9783088,91544.98
331,Roudnice nad Labem,CZ,50.4252048,14.2604647,31086.09
332,Pushkinskiye Gory,RU,57.0228035,28.9142107,78658.24
333,Monte Caseros,AR,-32.9576242,-68.7400523,79900.03
334,Shenzhong,CN,22.543096,114.057865,62220.95
335,Kuanda,RU,56.3289836,116.1168555,63526.43
336,Rushanzhai,CN,36.886546,121.456161,20298.52
337,Horní Štěpánov,CZ,49.5516872,16.7807105,78587.94
338,Loyew,BY,51.9377873,30.7892014,69539.41
339,Smithers,CA,54.78036,-127.17428,58492.27
340,Talanga,HN,14.4137091,-87.0873978,55079.48
341,Nanshe,CN,22.801624,113.525165,90386.81
342,Belica,HR,46.4270739,16.5473979,83366.14
343,Konde,TZ,-4.9426131,39.7433571,45340.09
344,Panjgūr,PK,27.4140682,64.987739,70381.64
345,San Juan de Limay,NI,13.1777422,-86.6132317,89494.61
346,Huaqiu,CN,28.341795,103.816006,47187.41
347,Miguel Hidalgo,MX,19.5473972,-96.9121929,69984.14
348,Las Matas de Santa Cruz,DO,19.6594511,-71.5065631,46890.15
349,Muzambinho,BR,-21.35188,-46.4970116,42474.51
350,Sofifi,ID,0.7349651,127.5614454,53310.70
351,Batanovtsi,BG,42.6448155,22.9615442,91181.65
352,Toshbuloq,UZ,39.9729825,67.199876,66602.94
353,Imrīsh,PS,31.470305,34.999744,21318.97
354,Guantang,CN,24.304673,113.136459,99956.70
355,Laocheng,CN,34.683646,112.469023,73621.04
356,Pau,FR,43.2916776,-0.3696612,73215.94
357,Shuangxiqiao,CN,29.020827,110.637506,69889.03
358,Xinjia,CN,42.5246357,87.5395855,85841.91
359,Chang’an,CN,34.158997,108.906994,71965.54
360,Kazan,RU,59.9335031,30.3251493,43220.25
361,Thala,TN,35.5732078,8.6683097,33028.02
362,Kishiwada,JP,34.7266084,135.6196126,58847.01
363,Chupa,RU,66.2745295,33.0615453,21976.76
364,Bayt Maqdūm,PS,31.53537,34.97192,68032.47
365,Balally,IE,52.176031,-6.5899765,50073.23
366,Sidomulyo,ID,-5.5844754,105.4771084,68112.59
367,Châteauroux,FR,48.2660539,0.768419,46986.72
368,Saint John,CA,45.271697,-66.0549467,59756.48
369,Grojec,PL,49.9800949,19.234704,73459.06
370,Kanluran,PH,14.6024553,121.0995111,96614.59
371,Pedro II,BR,-4.4338427,-41.4537623,61926.94
372,Sinarharapan,ID,-5.357293,104.7768894,65270.29
373,Acao,PH,14.7127327,121.0279622,64399.84
374,Butwāl,NP,27.6873608,83.4323375,24812.85
375,Phatthalung,TH,7.193611,100.592145,81848.70
376,Yeri,CY,35.1000306,33.4215334,29670.02
377,San Antonio,US,29.5613789,-98.5612534,80920.39
378,Terter,AZ,40.3443875,46.9376519,50792.59
379,Vasyl'evsky Ostrov,RU,59.94043,30.2813321,29396.54
380,Takāb,IR,36.4051945,47.1156092,79447.37
381,Líbano,CO,4.920956,-75.063129,52347.05
382,Alvaiázere,PT,39.8244606,-8.3790205,54748.84
383,Arcueil,FR,46.7713478,3.8379578,36896.29
384,Rungis,FR,48.7381259,2.3536083,46527.93
385,Stockholm,SE,59.3416126,18.0494344,61132.13
386,Parabon,ID,-6.9098723,107.1955974,43207.84
387,‘Awaj,SY,34.90704,36.40444,93229.88
388,Murmansk,RU,68.966993,33.0991415,76411.54
389,Bāqim as Sūq,YE,17.39713,43.47743,33628.50
390,Matangpayang,ID,5.191484,97.3705639,92758.43
391,Yisuhe,CN,27.77268,112.955638,88480.71
392,Xiayang,CN,26.480043,113.778639,73186.08
393,Bakersfield,US,35.1268513,-119.1855785,70098.79
394,Choroszcz,PL,53.14292,22.98815,49995.91
395,Åkersberga,SE,59.4746074,18.2397247,72670.13
396,Karangharjo,ID,-6.7050629,111.6198661,93139.27
397,Qalaikhumb,TJ,38.4613914,70.7896966,94028.48
398,Anjirmuara,ID,-3.1941468,114.5361435,21889.73
399,Větřní,CZ,48.7730603,14.2851033,25199.60
400,Cantilan,PH,9.2610401,125.9638162,74518.19
401,Banyo,CM,6.7496639,11.8036596,87010.89
402,Sidi Bousber,MA,34.5601745,-5.3710551,27007.54
403,Czyżowice,PL,49.9846987,18.4044199,71392.21
404,Groblersdal,ZA,-25.16575,29.38926,86200.18
405,Ganlin,CN,26.0882134,119.3010346,40211.39
406,Zaoshi,CN,26.6674,113.449709,88839.60
407,Frederico Westphalen,BR,-27.3607338,-53.3963199,59832.66
408,Wailebe,ID,-8.3635208,123.0085415,63094.28
409,Kasugai,JP,35.2234722,137.0285083,20820.42
410,Togitsu,JP,32.8458487,129.9118965,35163.20
411,Jatirejo,ID,-7.617735,112.4172256,23425.34
412,Leubatang,ID,-8.3124202,123.7238308,91025.51
413,Bojongbenteng,ID,-7.1278,108.2102,53957.24
414,Huangnaihai,CN,35.615489,102.009491,44136.04
415,Bandar-e Lengeh,IR,26.5627867,54.888679,42442.86
416,Boston,US,35.9014983,-81.1381216,24956.00
417,Kuz’minskiye Otverzhki,RU,52.6957717,39.4722994,42157.73
418,Nyurba,RU,63.2803099,118.3618985,82246.76
419,Rancagadog,ID,-7.0131132,106.7023304,54655.64
420,San Antonio Suchitepéquez,GT,14.5421715,-91.4130682,31932.76
421,Santa Ana Huista,GT,15.6835,-91.81952,79957.55
422,Makato,PH,11.6994751,122.2790551,97127.63
423,Las Vegas,US,36.4303079,-115.5207358,98654.66
424,Karlskoga,SE,59.3138173,14.4937714,47546.59
425,Rostokino,RU,55.874056,37.690366,49436.03
426,Waihai,CN,37.513068,122.120419,78359.66
427,Norashen,AM,40.6573682,44.0769342,74101.57
428,Nong Saeng,TH,17.1413481,102.7824777,92059.73
429,Zhoujiang,CN,29.1416432,119.7889248,45116.00
430,Perbaungan,ID,3.5674986,98.9797467,26754.51
431,Mensalong,ID,3.756455,116.750397,83980.59
432,Jagodnjak,HR,45.6747796,18.5702566,79735.71
433,Felege Neway,ET,6.300757,36.878471,70416.28
434,Simrishamn,SE,55.5446591,13.9636888,53283.02
435,Karara,ID,-9.659525,119.0750837,61160.92
436,Pueblo Nuevo,PE,-7.1916713,-79.5139718,91433.99
437,Sucre,EC,-1.2782708,-80.4243066,48417.39
438,Camden,US,39.9175385,-75.1136721,42858.43
439,Cabay,PH,9.8657623,123.9891483,79603.65
440,Pang,PH,14.3870657,120.9396932,30461.43
441,Cibunar,ID,-6.3413734,106.5495683,41817.80
442,Socorro,BR,-22.5905906,-46.5282973,80486.45
443,Melfort,CA,52.86673,-104.61768,81801.24
444,Pakel,ID,-8.1553145,111.8270486,84984.75
445,Ya‘bad,PS,32.446834,35.167274,76964.50
446,Jinshan,CN,30.741991,121.341969,32663.11
447,Martensville,CA,52.28339,-106.66792,91529.42
448,Zipaquirá,CO,5.021476,-73.990955,65897.03
449,Yanahuanca,PE,-10.4911471,-76.5155834,35427.01
450,Shaft,IR,37.1702603,49.4017092,93544.90
451,Mandala,ID,-7.347756,108.8818859,86824.81
452,Puerto Aisén,CL,-45.4035437,-72.6864154,81250.67
453,Mogi das Cruzes,BR,-23.5213379,-46.185867,94658.57
454,Cercal,PT,39.2256483,-9.0073673,72269.38
455,Kikuchi,JP,33.0205233,130.8260172,63416.58
456,Rudziczka,PL,50.0317672,18.7766679,66216.62
457,Renhe,CN,26.497765,101.738528,33599.25
458,Qianjin,CN,46.814102,130.375062,92724.22
459,Orekhovo-Borisovo,RU,55.5807611,37.7673912,29603.99
460,Baranoa,CO,10.796589,-74.915036,58374.70
461,Castlerea,IE,53.7423435,-8.6346959,55087.46
462,Ludvika,SE,60.1536833,15.196697,22636.99
463,Xianzong,CN,31.803171,118.002516,46970.76
464,Ponte,PT,39.5421345,-118.5736924,51938.88
465,Palmira,PA,8.7337105,-82.4590282,60707.13
466,Presnenskiy,RU,55.7570915,37.6047016,38319.60
467,Gīdolē,ET,5.6497493,37.3693679,37149.87
468,Denver,US,39.9311729,-104.9739333,82140.33
469,Oumiao,CN,31.857198,112.180321,32061.65
470,Bolaoit,PH,15.9275907,120.4355906,21926.22
471,Teresina,BR,-5.0395725,-42.8036388,39744.75
472,Chengfeng,CN,25.867277,118.963532,45129.16
473,Nigel,ZA,-26.360436,28.451357,23924.61
474,Hirado,JP,35.4335808,139.5718014,23769.79
475,Cagdianao,PH,10.018056,125.663981,54965.08
476,Książ Wielkopolski,PL,52.0609041,17.239347,50247.25
477,Lelydorp,SR,5.6979328,-55.220397,90476.80
478,Barishāl,PK,36.3163,74.6786,89766.06
479,Baing,ID,-10.22485,120.548897,72767.58
480,Bassa,NG,7.7701761,7.0498442,53571.87
481,Dikson,RU,59.9638414,30.3516338,31453.16
482,Bealanana,MG,-14.5460011,48.7542899,59152.08
483,Washington,US,38.9003669,-77.0351137,47472.74
484,Nemyriv,UA,48.9749521,28.8474081,71497.58
485,Saurimo,AO,-9.6612173,20.3904598,83771.96
486,Krasnoye,RU,50.6859367,38.1632353,30859.56
487,Pathum Thani,TH,13.9884516,100.6181795,50959.52
488,Khirdalan,AZ,40.4529251,49.7333235,65282.47
